concept_name,count,mean,std,min,25%,50%,75%,max,group
Albumin,352,4.006534090909091,0.3499897092134233,3.5,3.7,4.0,4.2,5.2,All
Alkaline Phosphatase,825,80.41939393939394,22.2277184631902,35.0,63.0,77.0,97.0,130.0,All
Basophils,818,0.3706601466992665,0.3929860009789937,0.0,0.0,0.3,0.6,2.0,All
Creatinine,1722,0.8166085946573751,0.21256983566250556,0.4,0.6,0.8,1.0,1.2,All
Eosinophils,726,1.6304407713498623,1.5184008188986053,0.0,0.2,1.2,2.5,7.0,All
Heart Rate,13872,91.04959630911188,18.545370906091552,0.0,78.0,90.0,104.0,174.0,All
Heart Rate Alarm High,1217,125.50780608052588,11.448546787888382,13.0,120.0,130.0,130.0,170.0,All
Heart Rate Alarm Low,1208,57.753311258278146,143.9694587156561,34.0,50.0,50.0,60.0,5050.0,All
Lactate,443,1.408803611738149,0.3654033471942642,0.5,1.1,1.4,1.7,2.0,All
Neutrophils,477,56.5706498951782,12.136370532527398,0.0,51.0,59.1,65.5,71.0,All
Oxygen Saturation,1176,87.31037414965986,22.56688806562117,65.0,85.0,88.0,88.0,858.0,All
Phosphate,1425,3.507789473684211,0.5047968893206163,2.7,3.1,3.5,3.9,4.5,All
Respiratory Rate,17288,19.145534474780195,6.657813348452634,0.0,16.0,19.0,23.0,58.0,All
Tidal Volume Observed,1331,921.7247182569497,16038.103479570966,0.0,394.0,458.0,540.0,585573.0,All
Tidal Volume Set,735,445.14190476190475,69.79858371974659,0.0,400.0,450.0,500.0,550.0,All
Tidal Volume Spontaneous,661,547.0030257186081,744.3488938316541,0.0,373.0,440.0,594.0,11540.0,All
pH,477,7.400607966457024,0.03054558825120771,7.35,7.37,7.4,7.43,7.45,All
Heart Rate,5808,94.11277548209367,19.01386265265066,0.0,83.0,95.0,106.0,174.0,Cohort
Heart Rate Alarm High,500,127.916,12.007218269905914,13.0,120.0,130.0,130.0,170.0,Cohort
Heart Rate Alarm Low,496,53.056451612903224,8.005101827103786,34.0,50.0,50.0,60.0,130.0,Cohort
Oxygen Saturation,474,86.95991561181435,1.7230181473809139,85.0,85.0,88.0,88.0,100.0,Cohort
Respiratory Rate,7996,19.52113556778389,7.096876569786519,0.0,16.0,20.0,24.0,48.0,Cohort
Tidal Volume Observed,853,468.4579132473622,146.9971028230262,0.0,384.0,447.0,510.0,1306.0,Cohort
Tidal Volume Set,461,436.9373101952278,66.0376103191376,0.0,400.0,450.0,470.0,550.0,Cohort
Tidal Volume Spontaneous,435,551.551724137931,908.7460870119128,0.0,361.0,420.0,522.0,11540.0,Cohort
